Safety Property Mostyn V11,"Old Verifier (tptp)
IV Base","Old Verifier (tptp)
IV Step","Old Verifier
(tptp)
Final IV 
Result","Old Verifier
(tptp)
run time in
seconds","Old Verifier
(tptp)
BMC 100
steps","New Verifier
IV Base","New Verifier
IV Step","New Verifier
IV","New Verifier
BMC 100
Steps","IC3 Result with 
SMTLib
(Does prop hold?)","Consistency
New Verifier IV
and IC3","Consistency
New Verifier BMC
and IC3","Consistency
New Verifier BMC
and New Verifier IV","IC3 Result
(safety & ladder 
tptp)
Does prop hold?","IC3 run time
(seconds)","Consistency
New Verifier IV
and tptp IC3","Consistency
Old Verifier IV
and tptp IC3","Consistency
Old Verifier BMC
and tptp IC3"
2_1_13_RoutesInStaffLockoutLODKOverlap_group1,Theorem,Theorem,yes,18.7208022,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0935517,yes,yes,yes
2_1_13_RoutesInStaffLockoutLODKOverlap_group2,Theorem,Theorem,yes,18.4527947,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0580297,yes,yes,yes
2_1_13_RoutesInStaffLockoutLODKOverlap_group3,Theorem,Theorem,yes,18.6723132,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0658615,yes,yes,yes
2_1_13_RoutesInStaffLockoutLODKOverlap_group4,Theorem,Theorem,yes,18.4276591,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.066461,yes,yes,yes
2_1_13_RoutesInStaffLockoutLODKOverlap_group5,Theorem,Theorem,yes,18.567795,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0646615,yes,yes,yes
2_1_13_RoutesInStaffLockoutLODKOverlap_group6,Theorem,Theorem,yes,18.4925655,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0703898,yes,yes,yes
2_1_16_SignalReminder_group0,Theorem,Theorem,yes,18.9545733,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0773475,yes,yes,yes
2_1_16_SignalReminder_group1,Theorem,Theorem,yes,18.8029784,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.065185,yes,yes,yes
2_1_16_SignalReminder_group10,Theorem,CounterSatisfiable,no,19.1275433,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.060121,yes,yes,yes
2_1_16_SignalReminder_group11,Theorem,CounterSatisfiable,no,19.4231896,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0677875,yes,yes,yes
