Safety Property Mostyn V11,"Old Verifier (tptp)
IV Base","Old Verifier (tptp)
IV Step","Old Verifier
(tptp)
Final IV 
Result","Old Verifier
(tptp)
run time in
seconds","Old Verifier
(tptp)
BMC 100
steps","New Verifier
IV Base","New Verifier
IV Step","New Verifier
IV","New Verifier
BMC 100
Steps","IC3 Result with 
SMTLib
(Does prop hold?)","Consistency
New Verifier IV
and IC3","Consistency
New Verifier BMC
and IC3","Consistency
New Verifier BMC
and New Verifier IV","IC3 Result
(safety & ladder 
tptp)
Does prop hold?","IC3 run time
(seconds)","Consistency
New Verifier IV
and tptp IC3","Consistency
Old Verifier IV
and tptp IC3","Consistency
Old Verifier BMC
and tptp IC3"
2_1_23_TrackSectionsInLineOfRoute_group24,Theorem,Theorem,yes,18.6109174,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0577669,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group25,Theorem,Theorem,yes,18.6982722,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.063571,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group26,Theorem,Theorem,yes,18.5477268,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0724266,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group27,Theorem,Theorem,yes,18.5587633,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.067263,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group3,Theorem,Theorem,yes,18.6898445,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0633836,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group4,Theorem,CounterSatisfiable,no,18.8680032,CounterSatisfiable,"(error ""line 32741 column 260: unknown constant NUSR_dot__op_N_cp_P1506B_1"")sat","(error ""line 38710 column 260: unknown constant NUSR_dot__op_N_cp_P1506B_1"")(error ""line 38711 column 260: unknown constant NUSR_dot__op_N_cp_P1506B_2"")sat",no,"(error ""line 1507049 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_1"")(error ""line 1507050 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_2"")(error ""line 1507051 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_3"")(error ""line 1507052 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_4"")(error ""line 1507053 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_5"")(error ""line 1507054 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_6"")(error ""line 1507055 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_7"")(error ""line 1507056 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_8"")(error ""line 1507057 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_9"")(error ""line 1507058 column 276: unknown constant NUSR_dot__op_N_cp_P1506B_10"")(error ""line 1507059 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_11"")(error ""line 1507060 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_12"")(error ""line 1507061 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_13"")(error ""line 1507062 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_14"")(error ""line 1507063 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_15"")(error ""line 1507064 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_16"")(error ""line 1507065 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_17"")(error ""line 1507066 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_18"")(error ""line 1507067 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_19"")(error ""line 1507068 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_20"")(error ""line 1507069 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_21"")(error ""line 1507070 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_22"")(error ""line 1507071 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_23"")(error ""line 1507072 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_24"")(error ""line 1507073 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_25"")(error ""line 1507074 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_26"")(error ""line 1507075 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_27"")(error ""line 1507076 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_28"")(error ""line 1507077 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_29"")(error ""line 1507078 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_30"")(error ""line 1507079 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_31"")(error ""line 1507080 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_32"")(error ""line 1507081 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_33"")(error ""line 1507082 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_34"")(error ""line 1507083 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_35"")(error ""line 1507084 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_36"")(error ""line 1507085 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_37"")(error ""line 1507086 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_38"")(error ""line 1507087 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_39"")(error ""line 1507088 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_40"")(error ""line 1507089 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_41"")(error ""line 1507090 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_42"")(error ""line 1507091 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_43"")(error ""line 1507092 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_44"")(error ""line 1507093 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_45"")(error ""line 1507094 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_46"")(error ""line 1507095 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_47"")(error ""line 1507096 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_48"")(error ""line 1507097 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_49"")(error ""line 1507098 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_50"")(error ""line 1507099 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_51"")(error ""line 1507100 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_52"")(error ""line 1507101 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_53"")(error ""line 1507102 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_54"")(error ""line 1507103 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_55"")(error ""line 1507104 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_56"")(error ""line 1507105 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_57"")(error ""line 1507106 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_58"")(error ""line 1507107 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_59"")(error ""line 1507108 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_60"")(error ""line 1507109 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_61"")(error ""line 1507110 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_62"")(error ""line 1507111 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_63"")(error ""line 1507112 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_64"")(error ""line 1507113 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_65"")(error ""line 1507114 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_66"")(error ""line 1507115 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_67"")(error ""line 1507116 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_68"")(error ""line 1507117 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_69"")(error ""line 1507118 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_70"")(error ""line 1507119 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_71"")(error ""line 1507120 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_72"")(error ""line 1507121 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_73"")(error ""line 1507122 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_74"")(error ""line 1507123 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_75"")(error ""line 1507124 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_76"")(error ""line 1507125 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_77"")(error ""line 1507126 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_78"")(error ""line 1507127 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_79"")(error ""line 1507128 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_80"")(error ""line 1507129 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_81"")(error ""line 1507130 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_82"")(error ""line 1507131 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_83"")(error ""line 1507132 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_84"")(error ""line 1507133 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_85"")(error ""line 1507134 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_86"")(error ""line 1507135 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_87"")(error ""line 1507136 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_88"")(error ""line 1507137 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_89"")(error ""line 1507138 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_90"")(error ""line 1507139 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_91"")(error ""line 1507140 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_92"")(error ""line 1507141 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_93"")(error ""line 1507142 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_94"")(error ""line 1507143 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_95"")(error ""line 1507144 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_96"")(error ""line 1507145 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_97"")(error ""line 1507146 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_98"")(error ""line 1507147 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_99"")(error ""line 1507148 column 282: unknown constant NUSR_dot__op_N_cp_P1506B_100"")sat",N/A => Expected predicate keys to be pre-included in a dictionary.,yes,yes,yes,N/A => Expected predicate keys to be pre-included in a dictionary.,0,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group5,Theorem,CounterSatisfiable,no,18.8006119,CounterSatisfiable,"(error ""line 32741 column 255: unknown constant NUSR_dot__op_N_cp_P1506B_1"")sat","(error ""line 38710 column 255: unknown constant NUSR_dot__op_N_cp_P1506B_1"")(error ""line 38711 column 255: unknown constant NUSR_dot__op_N_cp_P1506B_2"")sat",no,"(error ""line 1507049 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_1"")(error ""line 1507050 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_2"")(error ""line 1507051 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_3"")(error ""line 1507052 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_4"")(error ""line 1507053 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_5"")(error ""line 1507054 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_6"")(error ""line 1507055 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_7"")(error ""line 1507056 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_8"")(error ""line 1507057 column 266: unknown constant NUSR_dot__op_N_cp_P1506B_9"")(error ""line 1507058 column 271: unknown constant NUSR_dot__op_N_cp_P1506B_10"")(error ""line 1507059 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_11"")(error ""line 1507060 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_12"")(error ""line 1507061 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_13"")(error ""line 1507062 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_14"")(error ""line 1507063 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_15"")(error ""line 1507064 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_16"")(error ""line 1507065 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_17"")(error ""line 1507066 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_18"")(error ""line 1507067 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_19"")(error ""line 1507068 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_20"")(error ""line 1507069 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_21"")(error ""line 1507070 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_22"")(error ""line 1507071 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_23"")(error ""line 1507072 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_24"")(error ""line 1507073 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_25"")(error ""line 1507074 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_26"")(error ""line 1507075 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_27"")(error ""line 1507076 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_28"")(error ""line 1507077 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_29"")(error ""line 1507078 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_30"")(error ""line 1507079 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_31"")(error ""line 1507080 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_32"")(error ""line 1507081 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_33"")(error ""line 1507082 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_34"")(error ""line 1507083 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_35"")(error ""line 1507084 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_36"")(error ""line 1507085 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_37"")(error ""line 1507086 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_38"")(error ""line 1507087 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_39"")(error ""line 1507088 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_40"")(error ""line 1507089 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_41"")(error ""line 1507090 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_42"")(error ""line 1507091 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_43"")(error ""line 1507092 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_44"")(error ""line 1507093 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_45"")(error ""line 1507094 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_46"")(error ""line 1507095 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_47"")(error ""line 1507096 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_48"")(error ""line 1507097 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_49"")(error ""line 1507098 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_50"")(error ""line 1507099 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_51"")(error ""line 1507100 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_52"")(error ""line 1507101 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_53"")(error ""line 1507102 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_54"")(error ""line 1507103 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_55"")(error ""line 1507104 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_56"")(error ""line 1507105 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_57"")(error ""line 1507106 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_58"")(error ""line 1507107 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_59"")(error ""line 1507108 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_60"")(error ""line 1507109 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_61"")(error ""line 1507110 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_62"")(error ""line 1507111 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_63"")(error ""line 1507112 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_64"")(error ""line 1507113 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_65"")(error ""line 1507114 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_66"")(error ""line 1507115 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_67"")(error ""line 1507116 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_68"")(error ""line 1507117 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_69"")(error ""line 1507118 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_70"")(error ""line 1507119 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_71"")(error ""line 1507120 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_72"")(error ""line 1507121 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_73"")(error ""line 1507122 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_74"")(error ""line 1507123 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_75"")(error ""line 1507124 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_76"")(error ""line 1507125 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_77"")(error ""line 1507126 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_78"")(error ""line 1507127 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_79"")(error ""line 1507128 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_80"")(error ""line 1507129 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_81"")(error ""line 1507130 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_82"")(error ""line 1507131 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_83"")(error ""line 1507132 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_84"")(error ""line 1507133 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_85"")(error ""line 1507134 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_86"")(error ""line 1507135 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_87"")(error ""line 1507136 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_88"")(error ""line 1507137 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_89"")(error ""line 1507138 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_90"")(error ""line 1507139 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_91"")(error ""line 1507140 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_92"")(error ""line 1507141 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_93"")(error ""line 1507142 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_94"")(error ""line 1507143 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_95"")(error ""line 1507144 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_96"")(error ""line 1507145 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_97"")(error ""line 1507146 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_98"")(error ""line 1507147 column 272: unknown constant NUSR_dot__op_N_cp_P1506B_99"")(error ""line 1507148 column 277: unknown constant NUSR_dot__op_N_cp_P1506B_100"")sat",N/A => Expected predicate keys to be pre-included in a dictionary.,yes,yes,yes,N/A => Expected predicate keys to be pre-included in a dictionary.,0,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group6,Theorem,CounterSatisfiable,no,19.0007721,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0640415,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group7,Theorem,CounterSatisfiable,no,18.8880191,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0676953,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group8,Theorem,CounterSatisfiable,no,18.7721214,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0674439,yes,yes,yes
2_1_23_TrackSectionsInLineOfRoute_group9,Theorem,CounterSatisfiable,no,18.8262912,CounterSatisfiable,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0648818,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group0,Theorem,Theorem,yes,18.7819129,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0690257,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group1,Theorem,Theorem,yes,18.8081675,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.064874,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group10,Theorem,Theorem,yes,18.675224,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0684248,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group11,Theorem,Theorem,yes,18.7135333,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0674142,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group12,Theorem,Theorem,yes,18.5983946,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0672439,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group13,Theorem,Theorem,yes,18.7114588,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0649976,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group2,Theorem,Theorem,yes,18.8975957,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0689258,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group3,Theorem,Theorem,yes,18.6689794,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0678254,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group4,Theorem,Theorem,yes,18.7664789,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0645969,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group5,Theorem,Theorem,yes,18.7407573,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0661057,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group6,Theorem,Theorem,yes,18.9989454,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0647611,yes,yes,yes
2_1_24_OverlapSectionsInLineOfRoute_group7,Theorem,Theorem,yes,18.7875259,Theorem,unsat,unsat,yes,unsat,yes,yes,yes,yes,yes,0.0725725,yes,yes,yes
